# x, y
0.000000000000000000e+00 0.000000000000000000e+00
1.333333402872085571e-01 8.244931697845458984e-02
2.666666805744171143e-01 2.591834664344787598e-01
4.000000059604644775e-01 3.637189567089080811e-01
5.333333611488342285e-01 2.438787072896957397e-01
6.666666865348815918e-01 -1.270454227924346924e-01
8.000000119209289551e-01 -6.054419875144958496e-01
9.333333373069763184e-01 -9.323579072952270508e-01
1.066666722297668457e+00 -8.675512671470642090e-01
1.200000047683715820e+00 -3.352985978126525879e-01
1.333333373069763184e+00 4.988687038421630859e-01
1.466666698455810547e+00 1.272328853607177734e+00
1.600000023841857910e+00 1.582973241806030273e+00
1.733333349227905273e+00 1.191755056381225586e+00
1.866666674613952637e+00 1.704594343900680542e-01
2.000000000000000000e+00 -1.088042140007019043e+00
